Name,Start time,End time,Type,Quality,SNR Z,SNR N,SNR E,SNR HF Z,SNR HF N,SNR HF E
S0423c,2020-02-04T19:29:47.495710Z,2020-02-04T19:46:02.919132Z,HIGH_FREQUENCY,B,1.35950498288,1.1470439632,1.28230004791,2.39332460563,2.40464857445,2.74318729166
S0423a,2020-02-04T15:22:45.052912Z,2020-02-04T15:35:37.938335Z,LOW_FREQUENCY,D,1.8491860263,1.7335338246,1.72260998518,1.1043227567,1.15662850824,1.33924368495
S0423b,2020-02-03T21:08:39.571218Z,2020-02-03T21:23:31.757543Z,2.4_HZ,D,1.14697884151,1.06632807453,1.12659786299,1.75176396962,1.80246352273,1.97325849641
S0422a,2020-02-03T12:42:42.879693Z,2020-02-03T13:02:31.148913Z,2.4_HZ,D,1.25681359105,1.28627160123,1.05258251454,1.443294164,1.55843995833,1.52785463042
S0420b,2020-01-31T19:57:16.792042Z,2020-01-31T20:14:58.749732Z,2.4_HZ,D,1.0126135487,0.995048161739,1.00195691679,1.5573784915,1.47050276282,1.45873206802
S0419a,2020-01-31T15:28:16.149073Z,2020-01-31T15:46:00.564904Z,2.4_HZ,C,1.01763284893,1.21079499144,1.17036963554,1.8948423472,1.62406260834,1.94331170591
S0418a,2020-01-30T11:55:17.998981Z,2020-01-30T12:12:20.876248Z,2.4_HZ,B,1.21798507918,1.23532157309,1.22894967387,2.51568779492,2.44248356606,2.59287038051
S0417b,2020-01-29T11:03:21.940549Z,2020-01-29T11:21:05.486803Z,2.4_HZ,C,1.17111775787,1.235412962,1.12528481495,1.31177343542,1.60002130019,1.60318376786
S0417a,2020-01-28T17:38:18.756785Z,2020-01-28T17:53:19.900972Z,2.4_HZ,B,1.27186637024,1.19367526648,1.34167714223,2.14126752708,2.05694731096,2.05810016208
S0415a,2020-01-26T16:31:20.119770Z,2020-01-26T16:45:36.793067Z,2.4_HZ,C,1.05223528862,1.02589773217,0.998924441426,2.09473994171,1.57897760374,1.53570303536
S0414a,2020-01-26T12:12:37.449824Z,2020-01-26T12:32:11.808915Z,2.4_HZ,C,1.07682911854,1.09124953501,1.13405906124,1.35026556693,1.21013678359,1.30152249578
S0413a,2020-01-25T07:56:18.067943Z,2020-01-25T08:05:01.462913Z,2.4_HZ,D,1.17376949814,1.1066477211,0.941699856295,1.44961227205,1.32173399865,1.37918481576
S0411c,2020-01-23T08:08:26.895983Z,2020-01-23T08:26:22.679672Z,2.4_HZ,D,1.099203686,1.11562072342,1.11295181628,1.50483178764,1.35862059939,1.34606521277
S0411b,2020-01-23T06:29:37.196189Z,2020-01-23T06:42:40.974548Z,2.4_HZ,D,1.19617986473,1.44022178399,1.20189542622,1.64331217711,1.52996750527,1.51617406476
S0411a,2020-01-23T05:36:44.177124Z,2020-01-23T05:53:44.475228Z,2.4_HZ,D,1.26693863441,1.22895400226,1.19346433542,2.6537057394,2.6654826854,2.60847558629
S0409c,2020-01-21T10:25:04.832086Z,2020-01-21T10:42:08.134476Z,2.4_HZ,C,1.11562440776,1.10728125572,1.08691082011,2.16968584527,1.90660489201,2.41580954284
S0409b,2020-01-21T07:10:01.009520Z,2020-01-21T07:24:54.706503Z,2.4_HZ,D,1.28025110456,1.13909023979,1.15137106104,1.37137124694,1.41392569102,1.32477267259
S0409a,2020-01-21T06:21:05.774320Z,2020-01-21T06:36:16.765841Z,2.4_HZ,D,1.19639279547,1.27055112541,1.38199129933,1.84020227499,1.7760295301,1.66346185798
